school code,school sector ,year_range ,Location,language ,type,formatted_address,google_place_id,input_string,latitude,longitude,postcode,type,surburb,name ,phone number ,city council,ICSEA VALUE,TEACHING STAFF,NON-TEACHING STAFF,NOT ENGLISH 2013,NOT ENGLISH 2014,NOT ENGLISH 2015,NOT ENGLISH 2016,NOT ENGLISH 2017,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
5530,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"96 Kearney Dr, Aspendale Gardens VIC 3195, Australia",ChIJh21-mGdt1moRFK_MUBqveI8,"Aspendale Gardens Primary School VIC,Australia",-38.0225235,145.1167494,3195,"establishment,point_of_interest,school",Aspendale Gardens,Aspendale Gardens Primary School ,03 9587 0877,Kingston (C),1075,46,21,27%,28%,26%,24%,23%,51,44.2,95.2,53,52,105,48,35,83,61,46,107,57,47.2,104.2,35,36.6,71.6,48,40,88,654
4715,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"11 Clarendon St, Avondale Heights VIC 3034, Australia",ChIJpVptPGVe1moR9Oj6I5oQtWI,"Avondale Primary School VIC,Australia",-37.7660469,144.8612346,3034,"establishment,point_of_interest,school",Avondale Heights,Avondale Primary School ,03 9318 1755,Moonee Valley (C),1047,25,17,67%,67%,66%,56%,67%,38,16,54,32,24,56,39,25,64,22,28,50,25,20,45,15,26,41,32,19,51,361
5429,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Balwyn Rd, Balwyn VIC 3103, Australia",ChIJg12DVztB1moRElCKmd8r-pY,"Balwyn Primary School VIC,Australia",-37.8141089,145.0812997,3103,"establishment,point_of_interest,school",Balwyn,Balwyn Primary School ,03 9836 7121,Boroondara (C),1171,43,9,48%,49%,60%,73%,66%,33,40,73,37,42,79,40,41,81,43,38,81,40,35,75,35,25,60,27,34,61,510
3841,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"20 Highview Rd, Balwyn North VIC 3104, Australia",ChIJ2e0r4cVG1moRudMTuA3x3eI,"Belle Vue Primary School VIC,Australia",-37.781879,145.079125,3104,"establishment,point_of_interest,school",Balwyn North,Belle Vue Primary School ,03 9859 6123,Boroondara (C),1116,11,4,44%,45%,47%,51%,45%,19,7,26,16,18,34,9,11,20,10,9,19,17,9,26,15,9,24,15,3,18,167
454,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Phyllis St, Bayswater VIC 3153, Australia",ChIJqWgdB4w71moRAV1yEnoUtso,"Bayswater West Primary School VIC,Australia",-37.8493048,145.253015,3153,"establishment,point_of_interest,school",Bayswater,Bayswater West Primary School ,03 9729 3394,Knox (C),1000,17,8,11%,12%,13%,15%,16%,18.4,21,39.4,21,14,35,26,13,39,7,13,20,19,15,34,16,22,38,9,11,20,225.4
3572,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Birch St, Bayswater VIC 3153, Australia",ChIJ5VmHeJA71moR3XG_zgj9g6A,"Bayswater Primary School VIC,Australia",-37.8433137,145.2593459,3153,"establishment,point_of_interest,school",Bayswater,Bayswater Primary School ,03 9721 3755,Knox (C),989,12,6,38%,37%,35%,34%,36%,14,7,21,6,10,16,11,11,22,7,4,11,7.2,7,14.2,6,5,11,4,9,13,108.2
2605,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"51 Mt Pleasant Rd, Belmont VIC 3216, Australia",ChIJneZOjoMT1GoRdEVHjVZW1No,"Belmont Primary School VIC,Australia",-38.171071,144.341941,3216,"establishment,point_of_interest,school",Belmont,Belmont Primary School ,03 9529 6611,Port Phillip (C),1078,18,9,11%,8%,4%,6%,7%,21,21,42,23,17,40,23,20,43,17,18,35,18,20,38,21,23,44,23,32,55,297
4851,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"16 Tucker Rd, Bentleigh VIC 3204, Australia",ChIJaRl0l-Jr1moRfOaoCrHjf6Q,"Tucker Road Bentleigh Primary School VIC,Australia",-37.9323391,145.0493776,3204,"establishment,point_of_interest,school",Bentleigh,Tucker Road Bentleigh Primary School ,03 9557 2044,Glen Eira (C),1112,36,14,22%,22%,19%,19%,18%,55,48,103,59,35,94,63,32,95,44,51,95,45,40,85,44,38,82,31,24,55,609
1360,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"23 Brewer Rd, Bentleigh VIC 3204, Australia",ChIJ1cNNxTdp1moRJBMYyEH7TKs,"Bentleigh West Primary School VIC,Australia",-37.9206464,145.0260813,3204,"establishment,point_of_interest,school",Bentleigh,Bentleigh West Primary School ,03 9557 1228,Glen Eira (C),1133,37,16,20%,18%,20%,23%,21%,38,49,87,35,39,74,36,46,82,45,34,79,42,50,92,42,30,72,63,46,109,595
5087,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"71 Arkaringa Cres, Black Rock VIC 3193, Australia",ChIJJZmdC1Bu1moRuCO16KtKAc4,"Black Rock Primary School VIC,Australia",-37.9682695,145.0221239,3193,"establishment,point_of_interest,school",Black Rock,Black Rock Primary School ,03 9598 2293,Bayside (C),1144,40,19,16%,15%,12%,15%,13%,34,47,81,47,46,93,47.2,47,94.2,50,35,85,43,35,78,55,26,81,33,38,71,583.2
5032,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Janet St, Blackburn VIC 3130, Australia",ChIJp1K4gqdA1moRiq7gsyTGqms,"Laburnum Primary School VIC,Australia",-37.8271373,145.1381611,3130,"establishment,point_of_interest,school",Blackburn,Laburnum Primary School ,03 9898 5811,Whitehorse (C),1149,45,13,25%,32%,34%,44%,47%,43,42,85,68,48,116,65,47,112,57,41,98,56,53,109,67,58,125,50,53,103,748
5512,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"183 Whitehorse Rd, Blackburn VIC 3130, Australia",ChIJI_S4ZrY41moRVm2SlMgaYXs,"Blackburn Primary School VIC,Australia",-37.8175871,145.1572134,3130,"establishment,point_of_interest,school",Blackburn,Blackburn Primary School ,03 9878 1483,Whitehorse (C),1122,36,11,28%,32%,32%,36%,39%,60,38,98,33.2,34,67.2,28,29,57,49,37,86,32,32,64,40,30,70,38,39,77,519.2
3956,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Florence St, Blackburn VIC 3130, Australia",ChIJn75dmTM_1moR_GEhEQzXudU,"Blackburn Lake Primary School VIC,Australia",-37.8270212,145.1656132,3130,"establishment,point_of_interest,school",Blackburn,Blackburn Lake Primary School ,03 9894 2855,Whitehorse (C),1150,28,8,18%,17%,18%,24%,24%,31,42,73,34,30,64,28,36,64,34,34,68,29,41,70,35,33,68,29,22,51,458
4991,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"70-86 Junction Rd, Blackburn North VIC 3130, Australia",ChIJwf-XT8I41moRdiNG5FptvDM,"Whitehorse Primary School VIC,Australia",-37.807888,145.1672033,3130,"establishment,point_of_interest,school",Blackburn North,Whitehorse Primary School ,03 9878 9339,Whitehorse (C),1106,22,10,35%,30%,29%,28%,30%,37,27,64,33,35,68,30,30,60,25,32,57,25,23,48,17,25,42,9,13,22,361
197,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Koonung Rd, Blackburn North VIC 3130, Australia",ChIJtyoDE7w41moRfkBYCcZ9D0A,"Old Orchard Primary School VIC,Australia",-37.8071033,145.1524709,3130,"establishment,point_of_interest,school",Blackburn North,Old Orchard Primary School ,03 9877 7899,Whitehorse (C),1117,32,15,25%,26%,30%,31%,33%,29,31,60,48,32,80,45,33,78,33,38,71,33,40,73,42,25,67,43,35,78,507
5454,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"39 Darwin Rd, Boronia VIC 3155, Australia",ChIJvSKSFXE81moRAxMZSN7jPs0,"Knox Central Primary School VIC,Australia",-37.8610986,145.2545809,3155,"establishment,point_of_interest,school",Boronia,Knox Central Primary School ,03 9801 3289,Knox (C),1001,8,6,13%,15%,20%,22%,24%,7,6,13,11,9,20,9,4,13,10,6,16,6,10,16,6,7,13,7,15,22,113
5019,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"56 Brunswick Rd, Brunswick East VIC 3057, Australia",ChIJm_K6HThD1moRSQnCyTDUTgw,"Brunswick South Primary School VIC,Australia",-37.7786545,144.972978,3057,"establishment,point_of_interest,school",Brunswick East,Brunswick South Primary School ,03 9380 1231,Moreland (C),1140,24,12,40%,36%,27%,28%,28%,25,27,52,28.8,25,53.8,30,21,51,28,23.8,51.8,23,25,48,28,13,41,9.6,18.8,28.4,326
4813,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"195A Stewart St, Brunswick East VIC 3057, Australia",ChIJAbWm5V5D1moRtYeCIXCnx5U,"Brunswick East Primary School VIC,Australia",-37.7648834,144.9795988,3057,"establishment,point_of_interest,school",Brunswick East,Brunswick East Primary School ,03 9387 3361,Moreland (C),1157,35,15,19%,16%,14%,16%,15%,32,30,62,42,26,68,28,32,60,22,36,58,46,16,62,47,37,84,27,29,56,450
4961,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"South Daly Street, Brunswick West VIC 3055, Australia",ChIJP-cs38Bc1moRutEXxcWKPhQ,"Brunswick South West Primary School VIC,Australia",-37.770618,144.943472,3055,"establishment,point_of_interest,school",Brunswick West,Brunswick South West Primary School ,03 9387 6886,Moreland (C),1160,29,6,26%,32%,34%,29%,34%,40,33,73,29,32,61,36,26,62,34,31,65,22,24,46,17,32,49,15,15,30,386
5212,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Pearson St, Brunswick West VIC 3055, Australia",ChIJ2Rw-Ca9c1moReDM4iJkWvPs,"Brunswick North Primary School VIC,Australia",-37.759786,144.9505763,3055,"establishment,point_of_interest,school",Brunswick West,Brunswick North Primary School ,03 9383 1400,Moreland (C),1149,32,11,31%,26%,27%,20%,23%,49,39,88,52,43,95,45.6,33,78.6,37,48,85,47,41,88,24,35,59,37,29,66,559.6
4015,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"225 Warrigal Rd, Burwood VIC 3125, Australia",ChIJkfsrolNA1moRv4DiSfM8xP0,"Wattle Park Primary School VIC,Australia",-37.8426999,145.0981243,3125,"establishment,point_of_interest,school",Burwood,Wattle Park Primary School ,03 9808 2165,Whitehorse (C),1146,29,13,30%,33%,34%,30%,36%,33,30,63,27,32,59,21,31,52,23,21,44,26,30,56,34,32,66,29,21,50,390
4906,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Corner Blackburn and Highbury Road, Burwood East VIC 3151, Australia",ChIJxYeBAp0_1moRXUXZ0hfvLFM,"Burwood East Primary School VIC,Australia",-37.8582842,145.1513393,3151,"establishment,point_of_interest,school",Burwood East,Burwood East Primary School ,03 9802 8618,Whitehorse (C),1142,18,7,39%,43%,52%,61%,77%,29,34,63,16,15,31,10,17,27,12,15,27,16,20,36,18,25,43,15,9,24,251
1490,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"49 Carmody Dr, Cairnlea VIC 3023, Australia",ChIJR90VAfdf1moRZTX74diMKhU,"Cairnlea Park Primary School VIC,Australia",-37.7590617,144.7881398,3023,"establishment,point_of_interest,school",Cairnlea,Cairnlea Park Primary School ,03 9363 1187,Brimbank (C),1011,70,18,79%,86%,78%,64%,78%,59,58,117,70,63,133,66,66,132,62,56,118,62,69,131,83,53,136,63,49,112,879
250,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Milverton St, Camberwell VIC 3124, Australia",ChIJF1xb3LBB1moRA7tSficgF4M,"Hartwell Primary School VIC,Australia",-37.8478498,145.084312,3124,"establishment,point_of_interest,school",Camberwell,Hartwell Primary School ,03 9889 4012,Boroondara (C),1187,49,10,13%,18%,22%,21%,27%,46,56,102,57,39,96,52,59,111,43,57,100,62,48,110,40,56,96,48,40,88,703
1912,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Laurel Cres, Campbellfield VIC 3061, Australia",ChIJG0uI4fxP1moR2wKrk9N6xy0,"Campbellfield Heights Primary School VIC,Australia",-37.6750029,144.9660813,3061,"establishment,point_of_interest,school",Campbellfield,Campbellfield Heights Primary School ,03 9359 5502,Hume (C),900,18,16,98%,96%,93%,77%,90%,15,17,32,12,14,26,14,16,30,17,8,25,16,22,38,15,17,32,15,10,25,208
4881,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Molesworth St, Canterbury VIC 3126, Australia",ChIJGUEdGwZB1moRedv2sM3wc3Y,"Canterbury Primary School VIC,Australia",-37.8312148,145.0841725,3126,"establishment,point_of_interest,school",Canterbury,Canterbury Primary School ,03 9836 4537,Boroondara (C),1192,43,12,19%,23%,23%,21%,28%,46,38,84,43,41,84,50,38,88,43,43,86,37,33,70,44,39,83,54,51,105,600
4986,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"215 Rathdowne St, Carlton VIC 3053, Australia",ChIJR-hV1ClD1moRmdsU2BEjDjw,"Carlton Gardens Primary School VIC,Australia",-37.8019437,144.9693606,3053,"establishment,point_of_interest,school",Carlton,Carlton Gardens Primary School ,03 9663 6502,Melbourne (C),1137,32,3,65%,70%,77%,86%,77%,37,22,59,29,27,56,32,35,67,31,22,53,27,29,56,19,22,41,11,19,30,362
5010,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"60 Lee St, Carlton North VIC 3054, Australia",ChIJJflo9SVD1moRBjMlnr3ali4,"Carlton North Primary School VIC,Australia",-37.791086,144.9729091,3054,"establishment,point_of_interest,school",Carlton North,Carlton North Primary School ,03 5433 2057,Greater Bendigo (C),1140,18,9,35%,31%,32%,36%,34%,22,25,47,30,16,46,24,13,37,17,31,48,20,21,41,16,25,41,21,9,30,290
5425,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Bundeera Rd, Caulfield South VIC 3162, Australia",ChIJDatuPHRp1moRLxBRtxWuRBE,"Caulfield South Primary School VIC,Australia",-37.8956385,145.0303474,3162,"establishment,point_of_interest,school",Caulfield South,Caulfield South Primary School ,03 9578 3718,Glen Eira (C),1159,34,10,32%,33%,31%,29%,36%,44,37,81,36.6,40,76.6,45,43,88,29,27,56,36,27,63,42,35,77,35,26,61,502.6
4183,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"77-79 Argus St, Cheltenham VIC 3192, Australia",ChIJyYnt8RVs1moRoNAGIXcX_KQ,"Le Page Primary School VIC,Australia",-37.9591998,145.0683929,3192,"establishment,point_of_interest,school",Cheltenham,Le Page Primary School ,03 9583 8342,Kingston (C),1031,2,5,40%,42%,51%,42%,49%,2,5,7,3,1,4,3,4,7,1,3,4,3,3,6,1,2.2,3.2,0,3,3,34.2
4176,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"25 Farm Rd, Cheltenham VIC 3192, Australia",ChIJ2afXrmls1moRlc2-xdcS93c,"Kingston Heath Primary School VIC,Australia",-37.9624643,145.0791327,3192,"establishment,point_of_interest,school",Cheltenham,Kingston Heath Primary School ,03 9584 5805,Kingston (C),1091,20,6,27%,31%,35%,38%,40%,14,31,45,20,30,50,18,21,39,22,15,37,19,16,35,27,22,49,17,18,35,290
4386,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"44 Silver St, Cheltenham VIC 3192, Australia",ChIJ70ZqUTls1moRbfReewOg_T8,"Cheltenham East Primary School VIC,Australia",-37.965193,145.068198,3192,"establishment,point_of_interest,school",Cheltenham,Cheltenham East Primary School ,03 9583 5746,Kingston (C),1090,32,6,28%,32%,30%,27%,38%,36,27,63,34,24,58,44,27,71,31,24,55,38,25,63,33,34,67,36,28,64,441
5533,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"22 Fairbank Rd, Clayton South VIC 3169, Australia",ChIJkWv6sDdr1moR_dMNnxbR09I,"Westall Primary School VIC,Australia",-37.941888,145.1365293,3169,"establishment,point_of_interest,school",Clayton South,Westall Primary School ,03 9546 8964,Kingston (C),961,21,8,78%,71%,77%,66%,81%,17,11,28,19,14,33,23,9,32,15,17,32,15,21,36,9,22,31,13,12,25,217
4845,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"193 Spensley St, Clifton Hill VIC 3068, Australia",ChIJQYkic3VD1moR6fG4_58JKDQ,"Spensley Street Primary School VIC,Australia",-37.7867925,145.0035893,3068,"establishment,point_of_interest,school",Clifton Hill,Spensley Street Primary School ,03 9481 4666,Yarra (C),1159,27,13,11%,10%,9%,9%,7%,36,12,48,29,22,51,26,21,47,34,30,64,20,33,53,26,28,54,18,29,47,364
4990,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"185 Gold St, Clifton Hill VIC 3068, Australia",ChIJA8FptxBD1moRoqwwX-tV_qI,"Clifton Hill Primary School VIC,Australia",-37.792509,144.989352,3068,"establishment,point_of_interest,school",Clifton Hill,Clifton Hill Primary School ,03 9489 8333,Yarra (C),1201,51,14,17%,19%,22%,18%,22%,53,60,113,56,50,106,66,70,136,45,51,96,45,52,97,54,46,100,55,49,104,752
5426,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"180 O'Hea Street, Coburg VIC 3058, Australia",ChIJpR6xbPEXKWsRNjbJoukBnCU,"Coburg North Primary School VIC,Australia",-37.7357364,144.951892,3058,"establishment,point_of_interest,school",Coburg,Coburg North Primary School ,03 9354 1660,Moreland (C),1129,29,14,49%,38%,33%,30%,30%,57,51,108,33,46,79,32,40,72,30,21,51,14,25,39,15,18,33,24,8,32,414
8890,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"102 Hothlyn Dr, Craigieburn VIC 3064, Australia",ChIJvTwXX5JR1moRva56vaxB_sY,"Craigieburn South Primary School VIC,Australia",-37.6083982,144.9357328,3064,"establishment,point_of_interest,school",Craigieburn,Craigieburn South Primary School ,03 9308 3133,Hume (C),978,40,26,50%,51%,52%,49%,54%,59,39,98,46,53,99,51,38,89,44,46,90,60,41,101,55.9,41,96.9,57,53,110,683.9
2586,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"87-91 Grand Blvd, Craigieburn VIC 3064, Australia",ChIJ_dFR7ztS1moRV5Sz9CRDTdc,"Craigieburn Primary School VIC,Australia",-37.5827885,144.9336305,3064,"establishment,point_of_interest,school",Craigieburn,Craigieburn Primary School ,03 9308 1228,Hume (C),978,40,26,50%,48%,52%,45%,54%,63,51,114,55,59,114,60,53,113,45,42,87,42,54,96,48.4,40,88.4,50,41,91,703.4
4638,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"32 Birdwood Ave, Dandenong VIC 3175, Australia",ChIJ483Jm3MU1moRPK37os5eid0,"Dandenong West Primary School VIC,Australia",-37.98087,145.200567,3175,"establishment,point_of_interest,school",Dandenong,Dandenong West Primary School ,03 9792 2868,Greater Dandenong (C),928,30,18,93%,102%,93%,94%,92%,23,28,51,26,17,43,23,17,40,19.4,16,35.4,22,17,39,27,21,48,29,21,50,306.4
2948,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Murray Rd, Dandenong North VIC 3175, Australia",ChIJS_07qtoV1moRqa6YnkZaXnM,"Rosewood Downs Primary School VIC,Australia",-37.9438842,145.2139572,3175,"establishment,point_of_interest,school",Dandenong North,Rosewood Downs Primary School ,03 9795 3744,Greater Dandenong (C),1015,22,7,53%,58%,58%,51%,63%,28,22,50,17,19,36,20,21,41,29,23,52,19,20,39,29,21,50,28,20,48,316
5241,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Quinn St, Deer Park VIC 3023, Australia",ChIJVb-T_beK1moRQeoNDAQ_3Pg,"Deer Park West Primary School VIC,Australia",-37.7715415,144.764684,3023,"establishment,point_of_interest,school",Deer Park,Deer Park West Primary School ,03 9363 3519,Brimbank (C),944,33,11,68%,66%,67%,55%,70%,35,37.2,72.2,36,40,76,36,34,70,33,23.2,56.2,34,25,59,33.2,22,55.2,27,34,61,449.6
4937,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"29 ????? 35 Goldsmith Ave, Delahey VIC 3037, Australia",ChIJVVVV8Y711moRlRkKxK72-1A,"Mackellar Primary School VIC,Australia",-37.7173406,144.7775514,3037,"establishment,point_of_interest,school",Delahey,Mackellar Primary School ,03 9364 0200,Brimbank (C),968,38,37,82%,75%,75%,60%,69%,44,25,69,24,27,51,41,22,63,24,14,38,40,32,72,28,31,59,35,27,62,414
5059,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"40 Lennon Pkwy, Derrimut VIC 3030, Australia",ChIJt2bY25KK1moRjT0JEGnjheQ,"Derrimut Primary School VIC,Australia",-37.789403,144.7640861,3030,"establishment,point_of_interest,school",Derrimut,Derrimut Primary School ,03 8361 1000,Brimbank (C),998,56,9,76%,74%,70%,85%,76%,71,64,135,54.2,46,100.2,56,54,110,51,61,112,56,58,114,59,52,111,49,48,97,779.2
5011,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"17 Clyde St, Diamond Creek VIC 3089, Australia",ChIJCeNgOAg21moRD2aQ2TPr3N0,"Diamond Creek Primary School VIC,Australia",-37.6717638,145.1519697,3089,"establishment,point_of_interest,school",Diamond Creek,Diamond Creek Primary School ,03 9731 9555,Hobsons Bay (C),1073,15,7,4%,4%,3%,4%,4%,21,18,39,23,14,37,16,11,27,17,15,32,14,15,29,18,12,30,14,12,26,220
2172,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Old Don Rd, Don Valley VIC 3139, Australia",ChIJ31gGTWfTKWsRc2fSI7Hv9O4,"Don Valley Primary School VIC,Australia",-37.7604822,145.5872718,3139,"establishment,point_of_interest,school",Don Valley,Don Valley Primary School ,03 5967 3321,Yarra Ranges (S),990,5,4,0%,2%,3%,5%,9%,2,3,5,6,3,9,2,0,2,3,2,5,7,1,8,3,0,3,3,0,3,35
